ds,y
1/15/97,767.200012
1/14/97,768.859985
1/13/97,759.51001
1/10/97,759.5
1/9/97,754.849976
1/8/97,748.409973
1/7/97,753.22998
1/6/97,747.650024
1/3/97,748.030029
1/2/97,737.01001
12/31/96,740.73999
12/30/96,753.849976
12/27/96,756.789978
12/26/96,755.820007
12/24/96,751.030029
12/23/96,746.919983
12/20/96,748.869995
12/19/96,745.76001
12/18/96,731.539978
12/17/96,726.039978
12/16/96,720.97998
12/13/96,728.640015
12/12/96,729.299988
12/11/96,740.72998
12/10/96,747.539978
12/9/96,749.76001
12/6/96,739.599976
12/5/96,744.380005
12/4/96,745.099976
12/3/96,748.280029
12/2/96,756.559998
11/29/96,757.02002
11/27/96,755
11/26/96,755.960022
11/25/96,757.030029
11/22/96,748.72998
11/21/96,742.75
11/20/96,743.950012
11/19/96,742.159973
11/18/96,737.02002
11/15/96,737.619995
11/14/96,735.880005
11/13/96,731.130005
11/12/96,729.559998
11/11/96,731.869995
11/8/96,730.820007
11/7/96,727.650024
11/6/96,724.590027
11/5/96,714.140015
11/4/96,706.72998
11/1/96,703.77002
10/31/96,705.27002
10/30/96,700.900024
10/29/96,701.5
10/28/96,697.26001
10/25/96,700.919983
10/24/96,702.289978
10/23/96,707.27002
10/22/96,706.570007
10/21/96,709.849976
10/18/96,710.820007
10/17/96,706.98999
10/16/96,704.409973
10/15/96,702.570007
10/14/96,703.539978
10/11/96,700.659973
10/10/96,694.609985
10/9/96,696.73999
10/8/96,700.640015
10/7/96,703.340027
10/4/96,701.460022
10/3/96,692.780029
10/2/96,694.01001
10/1/96,689.080017
9/30/96,687.330017
9/27/96,686.190002
9/26/96,685.859985
9/25/96,685.830017
9/24/96,685.609985
9/23/96,686.47998
9/20/96,687.030029
9/19/96,683
9/18/96,681.469971
9/17/96,682.940002
9/16/96,683.97998
9/13/96,680.539978
9/12/96,671.150024
9/11/96,667.280029
9/10/96,663.809998
9/9/96,663.76001
9/6/96,655.679993
9/5/96,649.440002
9/4/96,655.609985
9/3/96,654.719971
8/30/96,651.98999
8/29/96,657.400024
8/28/96,664.809998
8/27/96,666.400024
8/26/96,663.880005
8/23/96,667.030029
8/22/96,670.679993
8/21/96,665.070007
8/20/96,665.690002
8/19/96,666.580017
8/16/96,665.210022
8/15/96,662.280029
8/14/96,662.049988
8/13/96,660.200012
8/12/96,665.77002
8/9/96,662.099976
8/8/96,662.590027
8/7/96,664.159973
8/6/96,662.380005
8/5/96,660.22998
8/2/96,662.48999
8/1/96,650.02002
7/31/96,639.950012
7/30/96,635.26001
7/29/96,630.909973
7/26/96,635.900024
7/25/96,631.169983
7/24/96,626.650024
7/23/96,626.869995
7/22/96,633.77002
7/19/96,638.72998
7/18/96,643.559998
7/17/96,634.070007
7/16/96,628.369995
7/15/96,629.799988
7/12/96,646.190002
7/11/96,645.669983
7/10/96,656.059998
7/9/96,654.75
7/8/96,652.539978
7/5/96,657.440002
7/3/96,672.400024
7/2/96,673.609985
7/1/96,675.880005
6/28/96,670.630005
6/27/96,668.549988
6/26/96,664.390015
6/25/96,668.47998
6/24/96,668.849976
6/21/96,666.840027
6/20/96,662.099976
6/19/96,661.960022
6/18/96,662.059998
6/17/96,665.159973
6/14/96,665.849976
6/13/96,667.919983
6/12/96,669.039978
6/11/96,670.969971
6/10/96,672.159973
6/7/96,673.309998
6/6/96,673.030029
6/5/96,678.440002
6/4/96,672.559998
6/3/96,667.679993
5/31/96,669.119995
5/30/96,671.700012
5/29/96,667.929993
5/28/96,672.22998
5/24/96,678.51001
5/23/96,676
5/22/96,678.419983
5/21/96,672.76001
5/20/96,673.150024
5/17/96,668.909973
